EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PIC_rsd,PIC_sd,POC,POC_rsd,POC_sd,DIC,ALK,DOC,DOC_sd,CHL,O2
EXP5,Light,NaOH,5-OH-D0-2,0,1.481218007,0.052299295,0.077466657,460.3180583,0.098613623,45.39363142,2097.592842,2787.97,59.49022996,28.89109769,2.35,284.196
EXP5,Light,NaOH,5-OH-D0-3,0,1.925632532,0.052299295,0.100709223,401.8661329,0.098613623,39.62947529,2090.653393,2770.46,64.61857689,29.66094528,1.95,281.382
EXP5,Light,NaOH,5-OH-D2-1,2,4.125712892,0.009580804,0.039527647,398.9977517,0.068687802,27.40627856,2081.187067,2759.07,84.6540959,37.90038067,2.85,295.452
EXP5,Light,NaOH,5-OH-D2-2,2,1.79447086,0.009580804,0.017192474,340.2584969,0.068687802,23.37160825,2094.173775,2776.2,87.35230571,42.20187744,2.44,291.231
EXP5,Light,NaOH,5-OH-D2-3,2,3.545659932,0.009580804,0.033970274,389.5008133,0.068687802,26.75395473,2084.066932,2777.47,118.6410496,55.8261514,2.58,nan
EXP5,Light,NaOH,5-OH-D4-1,4,3.789765249,0.009580804,0.036308999,424.6801005,0.068687802,29.17034264,2038.274918,2779.6,101.2920851,46.27828251,2.39,322.183
EXP5,Light,NaOH,5-OH-D4-2,4,3.790268371,0.009580804,0.036313819,459.7338529,0.068687802,31.57810785,2050.01051,2772.13,105.5229713,49.15312674,1.66,312.335
EXP5,Light,NaOH,5-OH-D4-3,4,3.448199304,0.009580804,0.033036522,443.6716845,0.068687802,30.4748328,2044.861601,2760.86,141.1708101,63.60352224,1.49,332.031
EXP2,Light,Control,2-CON-D0-1,0,5.2,0.008755622,0.045529236,301.7,0.024971752,7.533977717,2077,2250.6,NA,NA,2.15,198.946
EXP2,Light,Control,2-CON-D0-2,0,3,0.008755622,0.026266867,267.9,0.024971752,6.689932484,2085,2245.9,NA,NA,2.64,206.11
EXP2,Light,Control,2-CON-D0-3,0,3.5,0.008755622,0.030644678,265.4,0.024971752,6.627503103,2081,2247.2,NA,NA,2.31,205.033
EXP2,Light,Control,2-CON-D2-1,2,3.5,0.06619504,0.231682638,672.4,0.024971752,16.79100635,2068,2250.9,NA,NA,10.34,224.954
EXP2,Light,Control,2-CON-D2-2,2,3.1,0.06619504,0.205204623,550.3,0.024971752,13.74195538,2075,2247.9,NA,NA,8.92,209.422
EXP2,Light,Control,2-CON-D2-3,2,1.1,0.06619504,0.072814543,926.9,0.024971752,23.14631736,2023,2251.2,NA,NA,8.11,260.17
EXP2,Light,Control,2-CON-D4-1,4,2.8,0.06619504,0.185346111,909.5,0.024971752,22.71180886,1997,2253.2,NA,NA,5.4,237.475
EXP2,Light,Control,2-CON-D4-2,4,4.1,0.06619504,0.271399662,926.4,0.024971752,23.13383148,1991,2246.7,NA,NA,6.59,268.896
