EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,O2,DIC,DI_13C,ALK,temp_out,pressure_out,pH_out,H_out,fCO2_out,pCO2_out,HCO3,CO3,CO2,B_Alk,OH-out,P_Alk,Si_Alk,Revelle_out,ar_omega,dry_CO2,ER_pH_out,ER_H_out,ER_fCO2_out,ER_pCO2_out,ER_HCO3,ER_CO3,ER_CO2,ER_B_Alk,ER_OH-out,ER_P_Alk,ER_Si_Alk,ER_Revelle_out,ER_ar_omega,ER_dry_CO2
EXP4,Light,Control,4-CON-D0-1,0,260.549,2096.073136,216.1015359,2239.8,19,0,7.805,15.7,737.5,740.0577899,1957.6,113.9,24.6,52.2,2.3,0,0,13.457,2.72,756.1,0.022,0.787570223,41.61738755,41.760796,10.02131789,4.756257078,1.383576146,2.57511447,0.144769641,0,0,0.278995239,0.16850946,42.66785355
EXP4,Light,Control,4-CON-D0-2,0,268.821,2085.325308,229.8500863,2244.8,19,0,7.843,14.4,670.2,672.4940283,1939.9,123.1,22.3,56.3,2.5,0,0,12.931,2.94,687.1,0.019,0.635878528,33.68143423,33.79749635,9.120668802,4.298878335,1.11903497,2.48566412,0.146449261,0,0,0.228162684,0.169199706,34.53158854
EXP4,Light,Control,4-CON-D0-3,0,257.792,2081.844959,232.4950073,2234,19,0,7.826,14.9,696,698.4053458,1940.1,118.5,23.2,54.4,2.4,0,0,13.146,2.83,713.6,0.019,0.642746153,33.95959841,34.07661905,8.497561592,4.057787359,1.128065873,2.368125776,0.138961905,0,0,0.224039007,0.161767401,34.81677388
EXP4,Light,Control,4-CON-D2-1,2,288.121,2066.262388,226.22457,2232.4,19,0,7.86,13.8,637.2,639.4073255,1918.4,126.6,21.2,58.2,2.6,0,0,12.672,3.03,653.3,0.028,0.893577201,47.00067485,47.16263345,15.78962171,6.745271792,1.564117414,3.491248042,0.194677621,0,0,0.363449318,0.212376483,48.18702061
EXP4,Light,Control,4-CON-D2-2,2,314.314,2045.559183,240.4073398,2245.61,19,0,7.934,11.6,526.7,528.5393928,1880.8,147.2,17.6,67.4,3,0,0,11.679,3.52,540,0.023,0.615566321,31.62519561,31.73417218,11.78980008,6.191013127,1.05168223,3.321044649,0.200891111,0,0,0.256288798,0.218500113,32.42344833
EXP4,Light,Control,4-CON-D2-3,2,288.121,2065.504049,224.7178549,2246.3,19,0,7.892,12.8,589.5,591.573194,1910.2,135.7,19.6,62,2.8,0,0,12.249,3.24,604.4,0.022,0.661962901,34.85167462,34.97176925,12.35507909,5.510752485,1.158899047,3.04120808,0.179504843,0,0,0.265647118,0.198245387,35.73136702
EXP4,Light,Control,4-CON-D4-1,4,377.728,2013.416634,227.755831,2246.95,19,0,8.002,9.9,438.1,439.5744264,1831.1,167.8,14.6,76.8,3.6,0,0,10.812,4.01,449.1,0.061,1.400797936,73.02451668,73.27615027,46.82707633,19.01280993,2.432925861,9.035247339,0.521618516,0,0,0.726575039,0.489884611,74.86773119
EXP4,Light,Control,4-CON-D4-2,4,370.835,2031.570866,222.36901,2232.64,19,0,7.938,11.5,518.2,520.035331,1866.9,147.4,17.3,67.9,3.1,0,0,11.611,3.52,531.3,0.055,1.466464716,76.58056063,76.84444791,37.95590114,15.45165938,2.551208252,7.406916993,0.408956476,0,0,0.708656871,0.402807651,78.51353337
EXP4,Light,Control,4-CON-D4-3,4,390.135,2004.727605,224.7685992,2243.52,19,0,8.013,9.7,424.7,426.1424893,1819.7,170.9,14.2,78.4,3.7,0,0,10.678,4.08,435.4,0.051,1.130555547,58.7022534,58.90453422,38.87941728,15.8571152,1.955511009,7.64810849,0.449702444,0,0,0.585641204,0.422404892,60.18395913
EXP4,Light,HCO3,4-HCO3-D0-1,0,256.414,2526.386323,201.1041644,2676.49,19,0,7.78,16.6,944,947.3004823,2365.1,129.9,31.5,49.6,2.1,0,0,14.392,3.1,967.9,0.02,0.773801725,49.21517238,49.38476187,10.47572539,4.886333689,1.635483378,2.355932507,0.130686253,0,0,0.267261907,0.183735946,50.45741435
EXP4,Light,HCO3,4-HCO3-D0-2,0,267.442,2531.266953,183.1736873,2678.39,19,0,7.773,16.9,961.3,964.6599752,2371,128.2,32,48.9,2.1,0,0,14.492,3.06,985.6,0.022,0.862831359,54.93580326,55.12510535,11.87143579,5.405231605,1.826459208,2.501826337,0.136125225,0,0,0.29921248,0.190493575,56.32243988
EXP4,Light,HCO3,4-HCO3-D0-3,0,271.578,2526.423101,191.1388779,2682.95,19,0,7.794,16.1,913.8,916.9900078,2362.1,133.8,30.5,51,2.2,0,0,14.203,3.2,936.9,0.025,0.90968474,57.9886854,58.18850735,14.18433206,6.23714028,1.928821678,2.809238355,0.152203002,0,0,0.332332418,0.208770296,59.45237993
EXP4,Light,HCO3,4-HCO3-D2-1,2,301.907,2485.5216,183.4912236,2668.59,19,0,7.851,14.1,782.8,785.4523612,2310,149.4,26.1,57.2,2.5,0,0,13.353,3.57,802.5,0.02,0.637480768,40.07643831,40.21453683,10.96923752,5.154627255,1.33165202,2.60177097,0.151259409,0,0,0.238272993,0.204484936,41.08800916
EXP4,Light,HCO3,4-HCO3-D2-2,2,306.042,2477.806603,177.9783927,2679.45,19,0,7.887,13,714.6,717.1044519,2292.8,161.2,23.8,61.5,2.7,0,0,12.845,3.85,732.7,0.025,0.744489542,46.21065564,46.36989193,14.74972176,7.454088241,1.537169481,3.336303362,0.190851429,0,0,0.312225628,0.25049038,47.37706049
EXP4,Light,HCO3,4-HCO3-D2-3,2,nan,2523.921827,193.7659836,2675.39,19,0,7.783,16.5,936.1,939.3524112,2362.1,130.6,31.2,49.9,2.2,0,0,14.346,3.12,959.8,0.077,2.937520979,186.4797911,187.1223778,48.8038157,20.44220372,6.21338161,7.954571662,0.393237695,0,0,1.109108559,0.508892951,191.1867344
EXP4,Light,HCO3,4-HCO3-D4-1,4,366.699,2451.278458,184.8857326,2656.1,19,0,7.896,12.7,692.2,694.6050918,2265.7,162.5,23.1,62.6,2.8,0,0,12.696,3.88,709.7,0.062,1.820890725,113.6443373,114.0359418,46.53370389,19.65563739,3.786206133,7.799809304,0.415323948,0,0,0.86205658,0.502119769,116.5128382
EXP4,Light,HCO3,4-HCO3-D4-2,4,nan,2453.864493,179.2282964,2671.15,19,0,7.919,12.1,656,658.2726498,2261.2,170.8,21.9,65.4,2.9,0,0,12.398,4.08,672.6,0.06,1.660522755,104.0966841,104.4553886,46.75751883,19.62047323,3.468044091,7.779855721,0.421273551,0,0,0.812412859,0.504612562,106.7241923
EXP4,Light,HCO3,4-HCO3-D4-3,4,347.399,2362.420058,187.7331042,2596.16,19,0,7.958,11,573.4,575.3648861,2164.3,179.1,19.1,70.6,3.2,0,0,11.783,4.28,587.9,0.064,1.630531894,98.90901667,99.24984509,52.31795641,21.80945152,3.295368803,8.879653834,0.493473477,0,0,0.836295571,0.556640763,101.4055828
EXP6,Light,Control,6-CON-D0-1,0,281.673,2089.366468,73.81741376,2241.06,16,0,7.869,13.5,623.3,625.5733841,1949.4,117.3,22.7,55.1,2,0,0,13.285,1.86119233,636.8,0.027,0.847175445,43.91170455,44.06884045,13.65070019,6.089725749,1.594179395,3.258168275,0.160986279,0,0,0.357198676,0.123155348,44.85784081
EXP6,Light,Control,6-CON-D0-2,0,234.728,2095.567717,83.98111348,2237.89,16,0,7.846,14.3,660.6,662.9255048,1959.7,111.9,24,52.6,1.9,0,0,13.612,1.775510841,674.8,0.017,0.570786365,29.64694887,29.75303903,6.520794435,3.469523122,1.07424814,2.205160261,0.123477517,0,0,0.200044302,0.093190038,30.28573193
EXP6,Light,Control,6-CON-D0-3,0,269.937,2096.355199,74.41899736,2240.88,16,0,7.851,14.1,652.6,654.9205224,1959.4,113.2,23.7,53.2,1.9,0,0,13.541,1.796137866,666.6,0.016,0.51692746,26.84841341,26.94448914,5.24192201,3.112948248,0.972246276,2.096224773,0.121254839,0,0,0.170505273,0.090951287,27.42689829
EXP6,Light,Control,6-CON-D2-1,2,nan,2060.647774,78.13821873,2243.28,16,0,7.941,11.5,516.2,518.0271316,1906.4,135.5,18.8,63.6,2.3,0,0,12.26,2.149970679,527.3,0.048,1.269416945,64.25388149,64.48381087,26.34509345,12.90059454,2.334757146,6.17150359,0.285043224,0,0,0.635865884,0.218593669,65.63831708
